,dialog,gameplan_prediction
0,<<Commander>> grab the mug off the table <<Instruction>> <<Commander>> take it to the sink and wash it <<Instruction>> <<Commander>> clear the sink first <<Instruction>> <<Commander>> turn on the water <<Instruction>> <<Commander>> after you placed in the sink <<Instruction>> <<Commander>> claen it and take it to the coffee maker <<Instruction>> <<Commander>> *clean <<Instruction>> <<Commander>> place in sink <<Instruction>> <<Commander>> turn off water first <<Instruction>> ,Pickup Mug -- Place CounterTop -- Pickup PaperTowelRoll -- Place CounterTop -- Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- Pickup Mug -- Pour Sink
1,<<Commander>> I would like you to make breakfast <<Instruction>> <<Commander>> first you should make coffee in a clean coffee mug <<Instruction>> <<Commander>> now you should make a salad <<Instruction>> <<Commander>> first the lettuce needs to be sliced using a knife <<Instruction>> ,Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- Pickup Cup -- Place DiningTable -- Pickup ButterKnife -- Slice Lettuce
2,<<Commander>> put mugs in the sink <<Instruction>> <<Commander>> go to the fridge and grab the mug <<Instruction>> <<Commander>> place in sink <<Instruction>> <<Commander>> place in sink <<Instruction>> <<Commander>> then go to the cabinet above the sink on the right <<Instruction>> <<Commander>> go to the other sink <<Instruction>> <<Commander>> go to the cabinet above the sink you just place the mug in <<Instruction>> <<Commander>> open the right side cabinet and take the second mug out <<Instruction>> ,Open Fridge -- Pickup Mug -- Close Fridge -- Place  -- Open Cabinet -- Pickup Mug
3,<<Commander>> Hi can you make me a plate of toast <<Instruction>> ,Pickup PepperShaker -- Place DiningTable -- Pickup Plate -- ToggleOff Faucet -- Place 
4,<<Commander>> we need to make a sandwich <<Instruction>> <<Commander>> lets slice some bread <<Instruction>> <<Commander>> we need 2 slices of bread toasted <<Instruction>> <<Commander>> 2 please <<Instruction>> <<Commander>> we to slice it <<Instruction>> <<Commander>> need to slice it <<Instruction>> <<Commander>> we need 2 slices of tomato please <<Instruction>> ,Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- ToggleOff Toaster -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place Plate -- Open Fridge -- Pickup Tomato -- Close Fridge -- Place CounterTop
5,"<<Commander>> Hi, <<Greetings/Salutations>> I have a neat task for you today. I'd like all my plates cleaned please <<Instruction>> ",Pickup Plate -- ToggleOff Faucet -- Place  -- Open Drawer -- Open Cabinet -- Open Cabinet -- Pickup Plate -- Place 
6,<<Commander>> hello <<Greetings/Salutations>> lets make coffee <<Instruction>> ,Pickup Cup -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine
7,<<Commander>> Hi <<Greetings/Salutations>> please cook up 3 slices of potato <<Instruction>> <<Commander>> and put them in a bowl <<Instruction>> ,Pickup Potato -- Place CounterTop -- Pickup Pan -- Place StoveBurner -- Open Fridge -- ToggleOff Faucet -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- Pickup Pan -- Place StoveBurner -- Pickup PotatoSliced -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- Pickup PotatoSliced -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place Bowl -- Pickup PotatoSliced -- Place Bowl
8,<<Commander>> prepare coffe in clean mug <<Instruction>> <<Commander>> pour water in basin an fill with coffee <<Instruction>> <<Commander>> next we are making a salad <<Instruction>> <<Commander>> go slice the lettuce <<Instruction>> <<Commander>> tomato needs to be slice <<Instruction>> <<Commander>> sliced <<Instruction>> <<Commander>> and potatoes too <<Instruction>> <<Commander>> cook the potato slice <<Instruction>> <<Commander>> put all the salad components in a plate <<Instruction>> <<Commander>> can u please pick the plate <<Instruction>> <<Commander>> put an extra slice of tomato <<Instruction>> <<Commander>> something is missing <<Instruction>> <<Commander>> lettuce <<Instruction>> <<Commander>> one more slice <<Instruction>> <<Commander>> remove one slice of tomato <<Instruction>> ,Open Fridge -- Pickup Mug -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Egg -- Place CounterTop -- Pickup Apple -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup ButterKnife -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup ButterKnife -- Slice Lettuce -- Slice Tomato -- Slice Egg -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place Pot -- ToggleOn StoveKnob -- ToggleOn StoveKnob -- ToggleOff StoveKnob -- ToggleOff StoveKnob -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup Pot -- Pour  -- Place CounterTop -- Pickup Pot -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup TomatoSliced -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Pickup Mug -- Place CounterTop
9,<<Commander>> today lets cook the potato <<Instruction>> ,Pickup Potato -- Open Microwave -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Potato -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Open Cabinet -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop
